ASIN,Product name,Portfolio,,,
B0C4Z3C7VN,t55,Rohan,,,
B0B6PPW1JD,neapolitan,Rohan,,,
B0DRL13C73,amaranth flour,Pooja,,,
B0DXVS1VKT,muskmelon seeds,Rohan,,,
B0DDCP8ZT7,barley,Pooja,,,
B0DDCKYL9K,sorghum,Pooja,,,
B0DTF9D116,jackfruit flour,Pooja,,,
B0DBDH99F3,t55,Rohan,,,
B0DXVQ626N,watermelon seeds,Rohan,,,
B0DXVTRZFZ,muskmelon seeds,Rohan,,,
B0DVC1L7HD,jackfruit flour,Pooja,,,
B0DZP6SQZ7,t55,Rohan,,,
B0DTFDCBD6,pumpkin seeds,Rohan,,,
B0DBDHCYRT,neapolitan,Rohan,,,
B0DQ17J24X,barley,Pooja,,,
B0F6VLC9S4,jackfruit flour,Pooja,,,
B0F8HQ3HRL,amaranth flour,Pooja,,,
B0DQ156LVV,t55,Rohan,,,
B0F7Y15BWV,jackfruit flour,Pooja,,,
B0F99GPWWF,pumpkin seeds,Rohan,,,
B0DTFBJ136,pumpkin seeds,Rohan,,,
B0FBWDJ2B7,muskmelon seeds,Rohan,,,
B0DKNS3CBV,neapolitan,Rohan,,,
B0DZP4T9G2,neapolitan,Rohan,,,
B0DQ1D7L3S,neapolitan,Rohan,,,
B0DKNNXD22,t55,Rohan,,,
B0F2HXVF2D,halim seeds,Rohan,,,
B0FBW999J3,halim seeds,Rohan,,,
B0F9YVGC85,hemp seeds,Rohan,,,
B0DXVQDL8G,watermelon seeds,Rohan,,,
B0DQ1C1GRS,sorghum,Pooja,,,
B0F99GBRGT,watermelon seeds,Rohan,,,
B0DTFBRF34,chia seeds,Rohan,,,
B0F9F183X2,sunflower seeds,Rohan,,,
B0F2HYD4VC,halim seeds,Rohan,,,
B0DTF9ZXNP,flax seeds,Rohan,,,
B0DTFBZGRM,sunflower seeds,Rohan,,,
B0F8B8WX87,chia seeds,Rohan,,,
B0F99Y3SHJ,flax seeds,Rohan,,,
B0FGJ4Q4M3,jackfruit flour,Pooja,,,
B0DGTTPZXY,almond flour,Pooja,,,
B0DBDV25PJ,almond flour,Pooja,,,
B0F8Q9F523,buckwheat flour,Pooja,,,
B0F8Q9Z9W8,buckwheat flour,Pooja,,,
B0DRNMPG1G,quinoa flour,Pooja,,,
B0DRNLBHFD,quinoa flour,Pooja,,,
B0FBWPF51J,bajra flour,Pooja,,,
B0FB2ZDCQM,sprouted ragi,Pooja,,,
B0FBWP47JY,bajra millet,Pooja,,,
B0DRNXSFZ9,amaranth millet,Pooja,,,
B0DQH63KZG,high protein flour,Pooja,,,
B0DTF56FR9,maize flour,Pooja,,,
B0F6NH14FP,sprouted amaranth,Pooja,,,
B0F6NGKLM3,sprouted amaranth,Pooja,,,
B0FBWSZCTN,pearl barley,Pooja,,,
B0FBWP9BJW,barley dalia,Pooja,,,
B0DRKSLWMV,foxtail flour,Pooja,,,
B0DRNPR4M9,browntop flour,Pooja,,,
B0DTF8DF8S,banana flour,Pooja,,,
B0DVC2Z4VK,banana flour,Pooja,,,
B0DRKHQ7HJ,barnyard flour,Pooja,,,
B0F6CN1HRC,baking powder,Pooja,,,
B0F6CGL3B8,baking soda,Pooja,,,
B0DRKXZF1R,kodo flour,Pooja,,,
B0DRNNV7PV,proso flour,Pooja,,,
B0DRKYXNM8,little flour,Pooja,,,
B0FBWSQQ7X,baking powder + soda combo,Pooja,,,
B0DSG7X4RM,millet flour combo,Pooja,,,
B0DSFV2DXN,millet flour combo,Pooja,,,
B0DRKM5XX3,barnyard flour,Pooja,,,
B0DRL2M853,kodo flour,Pooja,,,
B0DRKZS587,little flour,Pooja,,,
B0DRKVYST1,foxtail flour,Pooja,,,
B0DRNPR8WP,proso flour,Pooja,,,
B0DRNRVQ7V,barnyard millet,Pooja,,,
B0DRNMXPDC,browntop flour,Pooja,,,
B0DRNXTF66,bajra millet,Pooja,,,
B0DRNXJJ7H,bajra millet,Pooja,,,
B0DTFC8BYF,pearl barley,Pooja,,,
B0F6NM3N23,pearl barley,Pooja,,,
B0F6VGBJ88,sprouted ragi,Pooja,,,
B0DN11QMCT,khapli,Rohan,,,
B0DMDLGVMP,khapli,Rohan,,,
B0DCGQ1Z1M,khapli,Rohan,,,
B0DCCD2YXD,khapli,Rohan,,,
B0DC87WN2L,khapli,Rohan,,,
B0D2LSYND8,khapli,Rohan,,,
B0DR1WG6SL,flour x,Rohan,,,
B0DKP82M9D,flour x,Rohan,,,
B07FTNCV47,flour x,Rohan,,,
B07FR93N48,flour x,Rohan,,,
B07FT9M2V5,flour x,Rohan,,,
B0FBVT2Z8X,ragi flour,Rohan,,,
B0DRL3NV2M,ragi flour,Rohan,,,
B0DRL9LDBR,ragi flour,Rohan,,,
B0DP539YFR,highland,Rohan,,,
B072PWN5WP,highland,Rohan,,,
B06XGXMCBB,highland,Rohan,,,
