pattern,product_name
t55,t55
neapolitan,neapolitan
t45,t45
thin crust,thin crust
virgin khapli,virgin khapli
khapli with millets,khapli with millets
khapli dalia,khapli dalia
khapli lite,khapli lite
khapli,khapli
high protein,high protein flour
flour zero,keto
flour x,flour x
c 8714,c 8714
8714,c 8714
c 8615,t65
8615,t65
c 8318,c 8318
8318,c 8318
yeast,yeast
salt,salt
semolina,semolina
oats flour,oats flour
reliq,reliq
sail,sail
keto,keto
malabar,malabar porotta
diabaveda,diabaveda
amaranth flour,amaranth flour
amaranth wholemillet,amaranth millet
sprouted amaranth,sprouted amaranth
barley dalia,barley dalia
pearl barley,pearl barley
malted barley,malted barley
barley,barley
muskmelon,muskmelon seeds
watermelon,watermelon seeds
pumpkin,pumpkin seeds
sunflower,sunflower seeds
chia,chia seeds
flax seed,flax seeds
flaxseed,flax seeds
hemp,hemp seeds
halim,halim seeds
soyabean,soyabean flour
jackfruit,jackfruit flour
banana flour,banana flour
tapioca,tapioca flour
buckwheat flour,buckwheat flour
buckwheat millet,buckwheat millet
ragi flour,ragi flour
sprouted ragi,sprouted ragi
ragi millet,ragi millet
bajra flour,bajra flour
bajra millet,bajra millet
quinoa flour,quinoa flour
quinoa millet,quinoa millet
sorghum,sorghum
foxtail flour,foxtail flour
foxtail millet,foxtail millet
little flour,little flour
little millet,little millet
kodo flour,kodo flour
kodo millet,kodo millet
barnyard flour,barnyard flour
barnyard millet,barnyard millet
browntop flour,browntop flour
browntop millet,browntop millet
proso flour,proso flour
proso millet,proso millet
acacia,acacia powder
inulin,inulin powder
baking powder + soda,baking powder + soda combo
baking powder,baking powder
baking soda,baking soda
sea buckthorn,sea buckthorn berry powder
harad,haritaki powder
haritaki,haritaki powder
jamun,jamun seeds powder
arjun,arjun chaal powder
gond katira,gond katira
moringa,moringa powder
millet flour combo,millet flour combo
millet combo,millet flour combo
highland,highland
coconut flour,coconut flour
almond,almond flour
bajra flour,bajra flour
banjra wholemillet,bajra milet
rye,dark rye
flax seeds,flax seeds flour
indie flour,indie
indie,indie
quinoa wholemillet,quinoa millet
quinoa millet,quinoa millet
rice flour,rice flour
campaign,sprouted ragi
bengal gram,channa sattu
flax seed flour,flax seeds flour
corn flour,maize flour
millet combo,millet combo
